0,50.00,-21130.303531,25286.747851,-26554.877001,-40.471103,48.017774,-50.642505,0.000016,0.000637
1,50.00,733.581687,1335.468367,8223.021251,1.326951,2.436440,15.439240,0.000016,0.000637
2,50.00,1842.107135,3102.732664,5449.345768,3.340501,5.729412,10.325536,0.000016,0.000637
3,50.00,7017.639185,4598.534394,-7340.558079,13.200208,8.665109,-14.122651,0.000016,0.000637
4,50.00,8958.147493,-6528.842365,-5268.867783,16.918562,-12.557175,-10.130947,0.000016,0.000637
5,50.00,-3728.235845,4580.953722,4855.487866,-7.178153,8.564135,9.146246,0.000016,0.000637
6,50.00,1519.191377,6609.936074,671.608497,2.782491,12.340105,1.188127,0.000016,0.000637
7,50.00,3920.324421,558.988631,3105.349124,7.288754,1.051102,5.757672,0.000016,0.000637
8,50.00,-613.613542,-40355.858093,17493.221875,-1.345116,-77.036096,33.210680,0.000016,0.000637
9,50.00,2182.368817,1556.921738,-107.095423,4.136905,2.789193,-0.171398,0.000016,0.000637
